doc_id,title,first_name,last_name,position,document_submitted_type,submitted_date,additional_submitted_date,disclosure_announcement_date,disclosure_start_date,disclosure_end_date,pdf_disclosure_location_url,nacc_id
946,นาย,เอกธนัช,อินทร์รอด,สมาชิกสภาผู้แทนราษฎร (ส.ส.),กรณีพ้นจากตำแหน่ง,2023-03-20,,2023-06-15,2023-06-23,2023-12-19,https://storage.googleapis.com/act_datacatalog/corrupt0/co_003/001/pdf/pdf/เอกธนัช_อินทร์รอด_สมาชิกสภาผู้แทนราษฎร_(ส.ส.)_กรณีพ้นจากตำแหน่ง_23_มิ.ย._2566.pdf,817
947,นาย,ศุภชัย,โพธิ์สุ,สมาชิกสภาผู้แทนราษฎร (ส.ส.),กรณีพ้นจากตำแหน่ง,2023-03-20,,2023-06-15,2023-06-23,2023-12-19,https://storage.googleapis.com/act_datacatalog/corrupt0/co_003/001/pdf/pdf/ศุภชัย_โพธิ์สุ_สมาชิกสภาผู้แทนราษฎร_(ส.ส.)_กรณีพ้นจากตำแหน่ง_23_มิ.ย._2566.pdf,818
948,นาย,วิรัช,พันธุมะผล,สมาชิกสภาผู้แทนราษฎร (ส.ส.),กรณีพ้นจากตำแหน่ง,2023-03-20,,2023-06-15,2023-06-23,2023-12-19,https://storage.googleapis.com/act_datacatalog/corrupt0/co_003/001/pdf/pdf/วิรัช_พันธุมะผล_สมาชิกสภาผู้แทนราษฎร_(ส.ส.)_กรณีพ้นจากตำแหน่ง_23_มิ.ย._2566.pdf,819
949,นางสาว,ภคอร,จันทรคณา,สมาชิกสภาผู้แทนราษฎร (ส.ส.),กรณีเข้ารับตำแหน่ง,2023-02-22,,2023-06-19,2023-06-23,2023-12-19,https://storage.googleapis.com/act_datacatalog/corrupt0/co_003/001/pdf/pdf/ภคอร_จันทรคณา_สมาชิกสภาผู้แทนราษฎร_(ส.ส.)_กรณีเข้ารับตำแหน่ง_23_มิ.ย._2566.pdf,820
950,นาย,สินิตย์,เลิศไกร,สมาชิกสภาผู้แทนราษฎร (ส.ส.),กรณีพ้นจากตำแหน่ง,2023-03-20,,2023-06-19,2023-06-23,2023-12-19,https://storage.googleapis.com/act_datacatalog/corrupt0/co_003/001/pdf/pdf/สินิตย์_เลิศไกร_สมาชิกสภาผู้แทนราษฎร_(ส.ส.)_กรณีพ้นจากตำแหน่ง_23_มิ.ย._2566.pdf,821
951,นาย,มานะ,โลหะวณิชย์,สมาชิกสภาผู้แทนราษฎร (ส.ส.),กรณีพ้นจากตำแหน่ง,2023-03-20,,2023-06-15,2023-06-23,2023-12-19,https://storage.googleapis.com/act_datacatalog/corrupt0/co_003/001/pdf/pdf/มานะ_โลหะวณิชย์_สมาชิกสภาผู้แทนราษฎร_(ส.ส.)_กรณีพ้นจากตำแหน่ง_23_มิ.ย._2566.pdf,822
952,นาย,วุฒิพงษ์,นามบุตร,สมาชิกสภาผู้แทนราษฎร (ส.ส.),กรณีพ้นจากตำแหน่ง,2023-03-20,,2023-06-15,2023-06-23,2023-12-19,https://storage.googleapis.com/act_datacatalog/corrupt0/co_003/001/pdf/pdf/วุฒิพงษ์_นามบุตร_สมาชิกสภาผู้แทนราษฎร_(ส.ส.)_กรณีพ้นจากตำแหน่ง_23_มิ.ย._2566.pdf,823
953,นาย,ฐิตินันท์,แสงนาค,สมาชิกสภาผู้แทนราษฎร (ส.ส.),กรณีพ้นจากตำแหน่ง,2023-03-20,,2023-06-15,2023-06-23,2023-12-19,https://storage.googleapis.com/act_datacatalog/corrupt0/co_003/001/pdf/pdf/ฐิตินันท์_แสงนาค_สมาชิกสภาผู้แทนราษฎร_(ส.ส.)_กรณีพ้นจากตำแหน่ง_23_มิ.ย._2566.pdf,824
954,นาย,เทวัญ,ลิปตพัลลภ,สมาชิกสภาผู้แทนราษฎร (ส.ส.),กรณีพ้นจากตำแหน่ง,2023-03-20,,2023-06-15,2023-06-23,2023-12-19,https://storage.googleapis.com/act_datacatalog/corrupt0/co_003/001/pdf/pdf/เทวัญ_ลิปตพัลลภ_สมาชิกสภาผู้แทนราษฎร_(ส.ส.)_กรณีพ้นจากตำแหน่ง_23_มิ.ย._2566.pdf,825
955,นางสาว,ธนภร,โสมทองแดง,สมาชิกสภาผู้แทนราษฎร (ส.ส.),กรณีพ้นจากตำแหน่ง,2023-03-20,,2023-06-19,2023-06-23,2023-12-19,https://storage.googleapis.com/act_datacatalog/corrupt0/co_003/001/pdf/pdf/ธนภร_โสมทองแดง_สมาชิกสภาผู้แทนราษฎร_(ส.ส.)_กรณีพ้นจากตำแหน่ง_23_มิ.ย._2566.pdf,826
956,นาย,ยงยุทธ,สุวรรณบุตร,สมาชิกสภาผู้แทนราษฎร (ส.ส.),กรณีพ้นจากตำแหน่ง,2023-03-20,,2023-06-15,2023-06-23,2023-12-19,https://storage.googleapis.com/act_datacatalog/corrupt0/co_003/001/pdf/pdf/ยงยุทธ_สุวรรณบุตร_สมาชิกสภาผู้แทนราษฎร_(ส.ส.)_กรณีพ้นจากตำแหน่ง_23_มิ.ย._2566.pdf,827
957,นาย,จุลพันธ์,อมรวิวัฒน์,สมาชิกสภาผู้แทนราษฎร (ส.ส.),กรณีพ้นจากตำแหน่ง,2023-03-20,,2023-06-15,2023-06-23,2023-12-19,https://storage.googleapis.com/act_datacatalog/corrupt0/co_003/001/pdf/pdf/จุลพันธ์_อมรวิวัฒน์_สมาชิกสภาผู้แทนราษฎร_(ส.ส.)_กรณีพ้นจากตำแหน่ง_23_มิ.ย._2566.pdf,828
958,นาย,สุทา,ประทีป ณ ถลาง,สมาชิกสภาผู้แทนราษฎร (ส.ส.),กรณีพ้นจากตำแหน่ง,2023-03-20,,2023-06-15,2023-06-23,2023-12-19,https://storage.googleapis.com/act_datacatalog/corrupt0/co_003/001/pdf/pdf/สุทา_ประทีป_ณ_ถลาง_สมาชิกสภาผู้แทนราษฎร_(ส.ส.)_กรณีพ้นจากตำแหน่ง_23_มิ.ย._2566.pdf,829
959,นาง,ชนม์นิภา,จินดาศิริโรจน์,กรรมการอำนวยการ,กรณีพ้นจากตำแหน่ง,2023-03-28,,2023-06-23,2023-06-23,2023-12-19,https://storage.googleapis.com/act_datacatalog/corrupt0/co_003/001/pdf/pdf/ชนม์นิภา_จินดาศิริโรจน์_กรรมการอำนวยการ_กรณีพ้นจากตำแหน่ง_23_มิ.ย._2566.pdf,830
960,นาย,ศุภชัย,นาคสุวรรณ์,สมาชิกสภาผู้แทนราษฎร (ส.ส.),กรณีพ้นจากตำแหน่ง,2023-03-20,,2023-06-15,2023-06-23,2023-12-19,https://storage.googleapis.com/act_datacatalog/corrupt0/co_003/001/pdf/pdf/ศุภชัย_นาคสุวรรณ์_สมาชิกสภาผู้แทนราษฎร_(ส.ส.)_กรณีพ้นจากตำแหน่ง_23_มิ.ย._2566.pdf,831
961,นาง,ลินดา,เชิดชัย,สมาชิกสภาผู้แทนราษฎร (ส.ส.),กรณีพ้นจากตำแหน่ง,2023-03-20,,2023-06-19,2023-06-23,2023-12-19,https://storage.googleapis.com/act_datacatalog/corrupt0/co_003/001/pdf/pdf/ลินดา_เชิดชัย_สมาชิกสภาผู้แทนราษฎร_(ส.ส.)_กรณีพ้นจากตำแหน่ง_23_มิ.ย._2566.pdf,832
962,นาย,ไพจิต,ศรีวรขาน,สมาชิกสภาผู้แทนราษฎร (ส.ส.),กรณีพ้นจากตำแหน่ง,2023-03-20,,2023-06-15,2023-06-23,2023-12-19,https://storage.googleapis.com/act_datacatalog/corrupt0/co_003/001/pdf/pdf/ไพจิต_ศรีวรขาน_สมาชิกสภาผู้แทนราษฎร_(ส.ส.)_กรณีพ้นจากตำแหน่ง_23_มิ.ย._2566.pdf,833
963,นาย,จตุพร,เจริญเชื้อ,สมาชิกสภาผู้แทนราษฎร (ส.ส.),กรณีพ้นจากตำแหน่ง,2023-03-20,,2023-06-19,2023-06-23,2023-12-19,https://storage.googleapis.com/act_datacatalog/corrupt0/co_003/001/pdf/pdf/จตุพร_เจริญเชื้อ_สมาชิกสภาผู้แทนราษฎร_(ส.ส.)_กรณีพ้นจากตำแหน่ง_23_มิ.ย._2566.pdf,834
964,นาย,เกษม,อุประ,สมาชิกสภาผู้แทนราษฎร (ส.ส.) พรรคเพื่อไทย,กรณีพ้นจากตำแหน่ง,2023-03-20,,2023-06-15,2023-06-23,2023-12-19,https://storage.googleapis.com/act_datacatalog/corrupt0/co_003/001/pdf/pdf/เกษม_อุประ_สมาชิกสภาผู้แทนราษฎร_(ส.ส.)_พรรคเพื่อไทย_กรณีพ้นจากตำแหน่ง_23_มิ.ย._2566.pdf,835
965,นาย,เชิดพงศ์,ราชป้องขันธ์,สมาชิกสภาผู้แทนราษฎร (ส.ส.),กรณีพ้นจากตำแหน่ง,2023-03-20,,2023-06-15,2023-06-23,2023-12-19,https://storage.googleapis.com/act_datacatalog/corrupt0/co_003/001/pdf/pdf/เชิดพงศ์_ราชป้องขันธ์_สมาชิกสภาผู้แทนราษฎร_(ส.ส.)_กรณีพ้นจากตำแหน่ง_23_มิ.ย._2566.pdf,836
966,นาง,สุเนตตา,แซ่โก๊ะ,สมาชิกสภาผู้แทนราษฎร (ส.ส.),กรณีพ้นจากตำแหน่ง,2023-03-20,,2023-06-19,2023-06-23,2023-12-19,https://storage.googleapis.com/act_datacatalog/corrupt0/co_003/001/pdf/pdf/สุเนตตา_แซ่โก๊ะ_สมาชิกสภาผู้แทนราษฎร_(ส.ส.)_กรณีพ้นจากตำแหน่ง_23_มิ.ย._2566.pdf,837
968,นาย,วีระ,เทพวงศ์ศิริรัตน์,นายกเทศมนตรีตำบล,กรณีเข้ารับตำแหน่ง,2023-05-15,,2023-06-26,2023-06-26,2023-12-22,https://storage.googleapis.com/act_datacatalog/corrupt0/co_003/001/pdf/pdf/วีระ_เทพวงศ์ศิริรัตน์_นายกเทศมนตรีตำบล_กรณีเข้ารับตำแหน่ง_26_มิ.ย._2566.pdf,838
969,นาย,จิรพงศ์,หะนนท์,นายกเทศมนตรีตำบล,กรณีเข้ารับตำแหน่ง,2023-04-07,,2023-06-26,2023-06-26,2023-12-22,https://storage.googleapis.com/act_datacatalog/corrupt0/co_003/001/pdf/pdf/จิรพงศ์_หะนนท์_นายกเทศมนตรีตำบล_กรณีเข้ารับตำแหน่ง_26_มิ.ย._2566.pdf,839
970,นาย,กฤษณะ,บุญยะชัย,กรรมการ (ม.102 (7)),กรณีพ้นจากตำแหน่ง,2023-04-12,,2023-06-27,2023-06-27,2023-12-23,https://storage.googleapis.com/act_datacatalog/corrupt0/co_003/001/pdf/pdf/กฤษณะ_บุญยะชัย_กรรมการ_(ม.102_(7))_กรณีพ้นจากตำแหน่ง_27_มิ.ย._2566.pdf,840
971,นาย,สรวุฒิ,สุขกิจ,กรรมการ (ม.102 (7)),กรณีดำรงตำแหน่งครบสามปี,2023-02-28,,2023-06-27,2023-06-27,2023-12-23,https://storage.googleapis.com/act_datacatalog/corrupt0/co_003/001/pdf/pdf/สรวุฒิ_สุขกิจ_กรรมการ_(ม.102_(7))_กรณีดำรงตำแหน่งครบสามปี_27_มิ.ย._2566.pdf,841
